,ENTREZID,SYMBOL
1129,222389,BEND7
1130,222537,HS3ST5
1131,222553,SLC35F1
1132,222611,ADGRF2
1133,222659,PXT1
1134,222662,LHFPL5
1135,222696,ZSCAN23
1136,2235,FECH
1137,2239,GPC4
1138,2254,FGF9
1139,2258,FGF13
1140,226,ALDOA
1141,2262,GPC5
1142,2263,FGFR2
1143,2280,FKBP1A
1144,22802,CLCA4
1145,22803,XRN2
1146,22806,IKZF3
1147,22807,IKZF2
1148,22820,COPG1
1149,22824,HSPA4L
1150,22827,PUF60
1151,22828,SCAF8
1152,22835,ZFP30
1153,22841,RAB11FIP2
1154,22844,FRMPD1
1155,22845,DOLK
1156,22849,CPEB3
1157,22850,ADNP2
1158,22856,CHSY1
1159,22864,R3HDM2
1160,22866,CNKSR2
1161,22868,FASTKD2
1162,22872,SEC31A
1163,22873,DZIP1
1164,22877,MLXIP
1165,22884,WDR37
1166,22890,ZBTB1
1167,22893,BAHD1
1168,22907,DHX30
1169,22908,SACM1L
1170,22919,MAPRE1
1171,22927,HABP4
1172,22928,SEPHS2
1173,22932,POMZP3
1174,22934,RPIA
1175,22937,SCAP
1176,2296,FOXC1
1177,22976,PAXIP1
1178,22977,AKR7A3
1179,22978,NT5C2
1180,22980,TCF25
1181,22982,DIP2C
1182,22984,PDCD11
1183,22992,KDM2A
1184,22994,CEP131
1185,22997,IGSF9B
1186,22998,LIMCH1
1187,23017,FAIM2
1188,23023,TMCC1
