Compound_CID,SMILES
270840,CC12CCC(CC1CCC3C2CCC4(C3CCC4C(=O)CO)C)O
213056,C1C[C@]([C@H]2[C@@H]1[C@@H]2C(=O)O)(C(=O)O)N
156665,C1C[C@]([C@H]2[C@@H]1[C@@H]2C(=O)O)(C(=O)O)N.O
131664,CC(C)CCC(=O)CC1C2=CC=CC=C2C(=O)N1C3=NC4=C(C=C3)C=CC(=N4)Cl
114827,C1CC(C2C1C2C(=O)O)(C(=O)O)N
104974,CC(=O)NC1(CCN(CC1)CC[C@H](CN(C)C(=O)C2=CC=CC=C2)C3=CC(=C(C=C3)Cl)Cl)C4=CC=CC=C4
101771,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O
92786,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C
91475,C[C@]12CCC(C[C@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O
71172,CC(C)NCC(COC1=CC=CC=C1OCC=C)O.Cl
33746,CC1=CC(=O)N2CC(=O)N(C3=C(C2(O1)C4=CC=CC=C4)C=C(C=C3)Cl)C
17925,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3Cl
9916,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O.Cl
9294,C[C@@H]([C@@H](C1=CC=CC=C1)O)NC
4506,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3
3658,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
3446,C1CCC(CC1)(CC(=O)O)CN
2997,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3
2816,C1COC2(N1CC(=O)NC3=C2C=C(C=C3)Cl)C4=CC=CC=C4Cl
2802,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
2441,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
1893,C1=CC2=C(C(=C1)[N+](=O)[O-])NN=C2
45934481,COC1=CC(=O)OC(C1)/C=C\C2=CC=CC=C2
23691043,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)C(=O)[O-].[K+]
16048558,COC1=CC(=O)O[C@@H](C1)/C=C/C2=CC=CC=C2
6451144,CN1CCN2[C@H](C1)C3=CC=CC=C3CC4=C2N=CC=C4.C(=C\C(=O)O)\C(=O)O
5369129,COC1=CC(=O)OC(C1)/C=C/C2=CC=CC=C2
5281565,COC1=CC(=O)O[C@H](C1)/C=C/C2=CC=CC=C2
3272524,C1=CC2=C3C(=CC(=C2C(=C1)S(=O)(=O)N)[N+](=O)[O-])NC(=O)C(=O)N3
3085218,CN1CCN2[C@H](C1)C3=CC=CC=C3CC4=C2N=CC=C4
3055171,C1CC(C1)N([C@@H]2CC3=C(C=CC(=C3OC2)F)C(=O)N)C4CCC4
3025961,CC1=NC(=CC=C1)C#CC2=CC=CC=C2
